uB	E	M	M2	C	X
0.86	-5167.21	0.793691	1575.68	0.749646	0.245176
0.87	-5209.4	0.796617	1587.31	0.758686	0.244836
0.88	-5254.65	0.799985	1600.71	0.736213	0.232241
0.89	-5284.91	0.801055	1605	0.740399	0.233904
0.9	-5324.26	0.803528	1614.92	0.749091	0.231821
0.91	-5366.54	0.806252	1625.87	0.751092	0.228928
0.92	-5400.38	0.808023	1632.99	0.733697	0.220533
0.93	-5445.88	0.811462	1646.9	0.707014	0.217502
0.94	-5471.26	0.81188	1648.59	0.72395	0.213262
0.95	-5510.95	0.814248	1658.14	0.662542	0.190627
0.96	-5546.58	0.816088	1665.68	0.715772	0.204718
0.97	-5585.38	0.818293	1674.69	0.72407	0.203255
0.98	-5623.15	0.820486	1683.66	0.710652	0.19834
0.99	-5663.11	0.822668	1692.61	0.710061	0.195011
