uB	E	M	M2	C	X
-0.54	-6237.7	-0.989619	2448.39	0.155925	0.0150046
-0.55	-6261.32	-0.98954	2448	0.164947	0.0157275
-0.56	-6288.44	-0.989738	2448.98	0.164302	0.0156569
-0.57	-6315.94	-0.989997	2450.26	0.153851	0.0145915
-0.58	-6351.19	-0.990874	2454.61	0.209252	0.0195594
-0.59	-6368.22	-0.990227	2451.39	0.141017	0.0134019
-0.6	-6395.57	-0.990518	2452.84	0.148685	0.0135186
-0.61	-6422.75	-0.990742	2453.94	0.13911	0.0126754
-0.62	-6448.71	-0.99084	2454.43	0.159625	0.0144974
-0.63	-6475.03	-0.990994	2455.2	0.145332	0.0132038
-0.64	-6498.13	-0.990839	2454.43	0.15425	0.014114
-0.65	-6526.11	-0.99114	2455.92	0.148807	0.0132621
-0.66	-6551.49	-0.991206	2456.24	0.135111	0.0121077
-0.67	-6579.94	-0.991524	2457.82	0.137393	0.0121362
-0.68	-6604.98	-0.991567	2458.03	0.136197	0.0118328
-0.69	-6636.31	-0.992139	2460.87	0.122966	0.0103814
-0.7	-6655.74	-0.991636	2458.38	0.142798	0.0120403
-0.71	-6681.4	-0.991747	2458.92	0.134637	0.0116588
-0.72	-6711.21	-0.992213	2461.24	0.119283	0.0104668
-0.73	-6729	-0.991542	2457.91	0.123154	0.0109014
-0.74	-6755.81	-0.991737	2458.87	0.1218	0.010506
-0.75	-6786.88	-0.992317	2461.75	0.127559	0.0106501
-0.76	-6812.39	-0.992393	2462.13	0.128868	0.0106737
-0.77	-6835.8	-0.992262	2461.48	0.124422	0.0102983
-0.78	-6865.53	-0.992712	2463.71	0.120157	0.00975348
-0.79	-6890.64	-0.992717	2463.73	0.123724	0.0101063
-0.8	-6916.11	-0.992782	2464.06	0.126215	0.0102539
-0.81	-6941.73	-0.992856	2464.42	0.119879	0.00965508
-0.82	-6966.17	-0.99283	2464.3	0.128825	0.0103131
-0.83	-6996.07	-0.993258	2466.42	0.110876	0.00882302
-0.84	-7019.71	-0.993162	2465.94	0.122311	0.00969501
-0.85	-7042.34	-0.992983	2465.05	0.118373	0.00930667
-0.86	-7071.87	-0.993377	2467.01	0.117288	0.00915472
-0.87	-7098.8	-0.993556	2467.9	0.111555	0.00874107
-0.88	-7122.82	-0.99349	2467.57	0.115456	0.00896092
-0.89	-7150.08	-0.993704	2468.63	0.113001	0.00866491
-0.9	-7174.66	-0.993675	2468.49	0.110082	0.00849384
-0.91	-7200.61	-0.993769	2468.96	0.106411	0.00814332
-0.92	-7230.23	-0.994167	2470.93	0.101896	0.00776006
-0.93	-7250.69	-0.993801	2469.12	0.109166	0.00824175
-0.94	-7277.82	-0.994006	2470.14	0.112587	0.00843544
-0.95	-7303.22	-0.994051	2470.36	0.109786	0.00816674
-0.96	-7325.12	-0.993776	2468.99	0.110224	0.00833521
-0.97	-7355.4	-0.994249	2471.34	0.103881	0.00770413
-0.98	-7386.1	-0.994746	2473.81	0.0966431	0.00705694
-0.99	-7407.62	-0.994469	2472.43	0.101031	0.00741128
