1/beta	E	M	C	X
1.18765	-1790.07	0.997133	0.994283	0.0739287	0.00634154
1.18906	-1787.89	0.996272	0.992569	0.0751293	0.00837191
1.19048	-1789.06	0.996962	0.99394	0.0716288	0.00532953
1.1919	-1790.24	0.997175	0.994364	0.0625458	0.00538049
1.19332	-1790.21	0.997174	0.994363	0.0626458	0.00533081
1.19474	-1790.61	0.997294	0.994601	0.0617267	0.00523006
1.19617	-1789.97	0.997085	0.994185	0.0673031	0.00585316
1.1976	-1790.02	0.997107	0.994229	0.0638392	0.00563032
1.19904	-1790.51	0.997274	0.99456	0.0524028	0.00448388
1.20048	-1790.63	0.997313	0.994639	0.0562821	0.00467069
1.20192	-1790.08	0.997138	0.994292	0.0617721	0.00529559
1.20337	-1789.46	0.996987	0.99399	0.0563037	0.00472332
1.20482	-1790.24	0.997171	0.994357	0.0650753	0.00579896
1.20627	-1787.48	0.996422	0.992867	0.0897339	0.00749088
1.20773	-1789.63	0.997002	0.994021	0.0647626	0.00560348
1.20919	-1790.17	0.997189	0.994393	0.0611633	0.00501814
1.21065	-1789.35	0.996895	0.993807	0.0691367	0.00631192
1.21212	-1788.5	0.996658	0.993336	0.07164	0.00636496
1.21359	-1789.64	0.996985	0.99399	0.0875099	0.00787051
1.21507	-1788.82	0.996742	0.993504	0.073913	0.00670346
1.21655	-1788.27	0.996539	0.993099	0.0717415	0.00668882
1.21803	-1786.39	0.99591	0.991849	0.0899761	0.00971203
1.21951	-1788.48	0.996657	0.993333	0.0715597	0.00643819
1.221	-1789.1	0.996858	0.993734	0.0655344	0.00576441
1.22249	-1788.76	0.99674	0.993499	0.071702	0.00640514
1.22399	-1788.53	0.996675	0.99337	0.0711954	0.00630861
1.22549	-1787.59	0.996385	0.992791	0.0726478	0.00674594
1.22699	-1787.31	0.996314	0.992652	0.0815597	0.00726827
1.2285	-1787.57	0.996376	0.992775	0.0724389	0.00660132
1.23001	-1788.11	0.99655	0.993122	0.0754251	0.0067672
1.23153	-1788.42	0.996648	0.993316	0.0696735	0.00621284
1.23305	-1787.21	0.996276	0.992575	0.0782087	0.00712704
1.23457	-1787.44	0.996368	0.992758	0.0675094	0.00610966
1.23609	-1787.5	0.996391	0.992804	0.07828	0.00696633
1.23762	-1787.36	0.996304	0.992631	0.0804292	0.00755268
1.23916	-1786.93	0.996198	0.99242	0.0805721	0.00735446
1.24069	-1788.62	0.996706	0.993431	0.0650391	0.00583114
1.24224	-1786.64	0.996106	0.992239	0.0859841	0.00799129
1.24378	-1787.02	0.996225	0.992475	0.0813047	0.00743978
1.24533	-1787.41	0.996364	0.992749	0.0699469	0.00629626
1.24688	-1785.92	0.99587	0.991769	0.0860366	0.00838294
1.24844	-1786.37	0.996011	0.992048	0.0817747	0.00766485
1.25	-1787.26	0.996289	0.992601	0.0815677	0.00742499
1.25156	-1786.83	0.99616	0.992346	0.0870241	0.00827067
1.25313	-1785.6	0.995812	0.991653	0.0877749	0.00806398
1.25471	-1787.29	0.996271	0.992566	0.0712574	0.00688339
1.25628	-1784.46	0.995487	0.991002	0.0665695	0.00587265
1.25786	-1784.56	0.995531	0.991094	0.0905326	0.00831116
1.25945	-1786.5	0.996083	0.992192	0.0810573	0.00744363
1.26103	-1784.76	0.995518	0.991069	0.0932199	0.00893866
1.26263	-1785.77	0.995833	0.991695	0.0874905	0.0084341
1.26422	-1787.35	0.996311	0.992646	0.0660555	0.00661917
1.26582	-1783.95	0.995366	0.990764	0.0908771	0.00819713
1.26743	-1784.94	0.995589	0.99121	0.0910995	0.00872502
1.26904	-1785.22	0.995688	0.991406	0.0842854	0.00803813
1.27065	-1784.79	0.99556	0.991152	0.0887533	0.00840595
1.27226	-1784	0.995315	0.990664	0.0880989	0.00851517
1.27389	-1784.7	0.995527	0.991085	0.0864953	0.00825403
1.27551	-1784.01	0.995192	0.990424	0.102397	0.011647
1.27714	-1783.08	0.995043	0.99012	0.0780724	0.00749811
1.27877	-1782.42	0.994815	0.989672	0.105283	0.0102768
1.28041	-1783.77	0.995248	0.990532	0.0957458	0.00927394
1.28205	-1783.14	0.995035	0.990109	0.100474	0.00996181
1.2837	-1783.38	0.99513	0.990297	0.0960261	0.00931815
1.28535	-1783.94	0.995205	0.990448	0.0963914	0.0112857
1.287	-1782.65	0.99488	0.9898	0.0982903	0.0100917
1.28866	-1783.33	0.99509	0.990219	0.096612	0.00966343
1.29032	-1783.34	0.99512	0.990278	0.0983307	0.00961318
1.29199	-1783.44	0.995156	0.990349	0.0988483	0.00957063
1.29366	-1782.52	0.994835	0.989711	0.0965379	0.00966465
1.29534	-1783.47	0.995147	0.99033	0.0933785	0.0091604
1.29702	-1782.56	0.994893	0.989826	0.0980988	0.0096618
1.2987	-1782.68	0.994899	0.989837	0.0966002	0.00975098
1.30039	-1782.41	0.994845	0.989731	0.102282	0.0101865
1.30208	-1781.93	0.994706	0.989455	0.09725	0.0095154
1.30378	-1781.82	0.994627	0.989297	0.101443	0.0105182
1.30548	-1781.39	0.994504	0.989053	0.105073	0.0107676
1.30719	-1781.43	0.99454	0.989124	0.0958488	0.00962489
1.3089	-1781.84	0.994708	0.989458	0.0942077	0.00932862
1.31062	-1780.9	0.994332	0.988712	0.107719	0.0115177
1.31234	-1780.41	0.994221	0.988492	0.112573	0.011626
1.31406	-1780.19	0.994137	0.988325	0.110044	0.0113245
1.31579	-1779.35	0.993937	0.987929	0.125668	0.0127081
1.31752	-1778.35	0.993521	0.987103	0.124248	0.0132371
1.31926	-1781.41	0.994565	0.989174	0.0997103	0.00984857
1.321	-1779.68	0.994008	0.988068	0.11152	0.0114196
1.32275	-1780.46	0.99425	0.988549	0.107899	0.011098
1.3245	-1778.94	0.993778	0.987614	0.120298	0.012183
1.32626	-1779.06	0.993801	0.987658	0.120194	0.0126093
1.32802	-1779.96	0.994088	0.988227	0.103033	0.0106217
1.32979	-1779.64	0.994015	0.988083	0.109515	0.0111746
1.33156	-1780.15	0.994118	0.988284	0.0875971	0.00945063
1.33333	-1779.07	0.993835	0.987725	0.111056	0.0114284
1.33511	-1779.9	0.994071	0.988193	0.110589	0.0113647
1.3369	-1778.41	0.993634	0.987328	0.121638	0.0131341
1.33869	-1778.43	0.993626	0.987311	0.113009	0.0120796
1.34048	-1777.9	0.993446	0.986955	0.125884	0.0135329
1.34228	-1778.25	0.993554	0.987167	0.11165	0.0118319
1.34409	-1778.37	0.993592	0.987243	0.114961	0.0121748
1.3459	-1778.85	0.99374	0.987533	0.0891077	0.00957701
1.34771	-1780.66	0.994349	0.988747	0.110019	0.0109221
1.34953	-1777.02	0.993161	0.98639	0.125581	0.0136562
1.35135	-1780	0.994113	0.988274	0.0912035	0.00917335
1.35318	-1776.29	0.992959	0.985987	0.114608	0.0122487
1.35501	-1775.99	0.99285	0.985772	0.12128	0.013199
1.35685	-1774.21	0.992414	0.984905	0.12774	0.0130222
1.3587	-1775.51	0.992733	0.98554	0.128475	0.0138554
1.36054	-1776.53	0.99302	0.986109	0.120869	0.0134077
1.3624	-1766.44	0.990153	0.980415	0.0859024	0.00794575
1.36426	-1775.54	0.992728	0.985531	0.130721	0.0146677
1.36612	-1776.56	0.993179	0.986421	0.106746	0.0106992
1.36799	-1775.34	0.992657	0.985389	0.12769	0.0143043
1.36986	-1775.84	0.99282	0.985713	0.126071	0.0136163
1.37174	-1774.64	0.992448	0.984977	0.133742	0.0148853
1.37363	-1774.56	0.992435	0.984948	0.128077	0.0142542
